('Total Revenue', '198,270,000', '198,270,000', '168,088,000', '143,015,000', '125,843,000')
         451930 function calls (436616 primitive calls) in 10.159 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       10    0.000    0.000    0.004    0.000 enum.py:430(_create_)
      378    0.000    0.000    0.000    0.000 socket.py:86(<lambda>)
       26    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
       76    0.000    0.000    0.000    0.000 element.py:1363(_all_strings)
       77    0.000    0.000    0.001    0.000 css_types.py:267(__init__)
      647    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
    35/21    0.000    0.000    0.001    0.000 typing.py:347(__getitem__)
        1    0.000    0.000    0.000    0.000 ssl.py:1298(_real_close)
       48    0.000    0.000    0.000    0.000 __init__.py:620(_linkage_fixer)
      647    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
        1    0.000    0.000    0.101    0.101 css_parser.py:1(<module>)
      149    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
      132    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:342(__init__)
        1    0.000    0.000    0.001    0.001 charsetgroupprober.py:28(<module>)
      376    0.000    0.000    0.000    0.000 socket.py:76(<lambda>)
        1    0.000    0.000    0.005    0.005 socket.py:4(<module>)
      379    0.000    0.000    0.000    0.000 socket.py:91(<lambda>)
       42    0.000    0.000    0.000    0.000 enum.py:543(_find_data_type)
      377    0.000    0.000    0.000    0.000 socket.py:81(<lambda>)
      108    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
      108    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1075(path_stats)
        1    0.000    0.000    0.002    0.002 typing.py:1(<module>)
  136/131    0.000    0.000    0.001    0.000 css_parser.py:387(_freeze_relations)
       12    0.000    0.000    0.000    0.000 datetime.py:488(__new__)
      139    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:154(_path_isfile)
        1    0.000    0.000    0.000    0.000 parse.py:146(_NetlocResultMixinBase)
        1    0.000    0.000    0.000    0.000 {function Random.seed at 0x7f7065ced550}
    38/29    0.000    0.000    0.015    0.001 css_parser.py:741(parse_pseudo_open)
      264    0.000    0.000    0.000    0.000 sre_compile.py:453(_get_iscased)
        1    0.000    0.000    0.007    0.007 ssl.py:4(<module>)
       87    0.000    0.000    0.000    0.000 __init__.py:91(_replace_charref)
        1    0.000    0.000   10.159   10.159 financial_enhanced.py:3(<module>)
       45    0.000    0.000    0.000    0.000 sre_compile.py:432(_generate_overlap_table)
      165    0.000    0.000    0.000    0.000 sre_compile.py:65(_combine_flags)
       22    0.000    0.000    0.000    0.000 util.py:15(lower)
       36    0.000    0.000    0.024    0.001 element.py:1871(find_all)
      124    0.000    0.000    0.000    0.000 os.py:670(__getitem__)
       25    0.000    0.000    0.001    0.000 typing.py:677(__getitem__)
      120    0.000    0.000    0.007    0.000 sre_parse.py:96(closegroup)
      268    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
       34    0.000    0.000    0.007    0.000 element.py:1846(find)
      133    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:143(__init__)
       25    0.000    0.000    0.001    0.000 typing.py:187(_subs_tvars)
       59    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
       69    0.000    0.000    0.000    0.000 css_types.py:251(__init__)
        1    0.000    0.000    0.000    0.000 stringprep.py:2(<module>)
        1    0.000    0.000    0.040    0.040 request.py:1(<module>)
      307    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
        1    0.000    0.000    0.006    0.006 __init__.py:17(<module>)
      132    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:725(find_spec)
      100    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
      220    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
      115    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:800(find_spec)
        1    0.000    0.000    0.002    0.002 datetime.py:1(<module>)
       16    0.000    0.000    0.000    0.000 enum.py:579(_find_new_)
      368    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
        1    0.000    0.000    0.007    0.007 financial_enhanced.py:17(<listcomp>)
        1    0.000    0.000    9.933    9.933 financial_enhanced.py:9(financial)
        1    0.000    0.000    0.003    0.003 shutil.py:1(<module>)
       10    0.000    0.000    0.006    0.001 enum.py:483(_convert_)
      100    0.000    0.000    0.000    0.000 re.py:270(escape)
        1    0.000    0.000    0.000    0.000 {function socket.close at 0x7f7065cb2310}
      462    0.000    0.000    0.000    0.000 css_types.py:72(__hash__)
      324    0.000    0.000    0.000    0.000 {built-in method from_bytes}
       52    0.000    0.000    0.004    0.000 css_parser.py:1113(<listcomp>)
    34/24    0.000    0.000    0.113    0.005 <frozen importlib._bootstrap>:1017(_handle_fromlist)
      108    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
       21    0.000    0.000    0.000    0.000 typing.py:219(_remove_dups_flatten)
      124    0.000    0.000    0.000    0.000 _collections_abc.py:742(__iter__)
       46    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
       24    0.000    0.000    0.001    0.000 typing.py:818(__getitem_inner__)
      101    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
       42    0.000    0.000    0.000    0.000 enum.py:532(_get_mixins_)
        1    0.000    0.000    0.001    0.001 css_match.py:78(_DocumentNav)
      289    0.000    0.000    0.000    0.000 typing.py:669(<genexpr>)
      329    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
      121    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:175(_path_isabs)
      668    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
        1    0.000    0.000    0.000    0.000 quoprimime.py:55(<listcomp>)
       38    0.000    0.000    0.000    0.000 element.py:274(get_text)
      124    0.000    0.000    0.000    0.000 os.py:748(encode)
      108    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1004(__init__)
        3    0.000    0.000    0.000    0.000 tokenize.py:83(_all_string_prefixes)
        1    0.000    0.000    0.006    0.006 dammit.py:541(__init__)
