('Total Revenue', '198,270,000', '198,270,000', '168,088,000', '143,015,000', '125,843,000')
         453379 function calls (438066 primitive calls) in 9.638 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       25    0.000    0.000    0.001    0.000 typing.py:187(_subs_tvars)
       25    0.000    0.000    0.001    0.000 typing.py:677(__getitem__)
       24    0.000    0.000    0.001    0.000 typing.py:818(__getitem_inner__)
       24    0.000    0.000    0.000    0.000 tokenize.py:94(<listcomp>)
       23    0.000    0.000    0.000    0.000 {method 'setter' of 'property' objects}
       22    0.000    0.000    0.397    0.018 {method 'readline' of '_io.BufferedReader' objects}
       22    0.000    0.000    0.000    0.000 util.py:15(lower)
       21    0.000    0.000    0.000    0.000 {method 'mro' of 'type' objects}
       21    0.000    0.000    0.000    0.000 typing.py:219(_remove_dups_flatten)
       20    0.000    0.000    0.000    0.000 feedparser.py:78(readline)
       20    0.000    0.000    0.000    0.000 feedparser.py:128(__next__)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
       19    0.000    0.000    0.000    0.000 tokenize.py:58(group)
       18    0.000    0.000    0.000    0.000 {built-in method builtins.globals}
       18    0.000    0.000    0.000    0.000 {method 'popleft' of 'collections.deque' objects}
       18    0.000    0.000    0.000    0.000 {built-in method sys._getframe}
       18    0.000    0.000    0.000    0.000 typing.py:532(__hash__)
       17    0.000    0.000    0.000    0.000 {method 'lstrip' of 'str' objects}
       17    0.002    0.000    0.002    0.000 {built-in method _imp.create_builtin}
       17    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
       17    0.000    0.000    0.000    0.000 message.py:479(set_raw)
       17    0.000    0.000    0.000    0.000 _policybase.py:293(header_source_parse)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(_requires_builtin_wrapper)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:406(spec_from_loader)
       17    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:746(create_module)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:754(exec_module)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:771(is_package)
       16    0.000    0.000    0.000    0.000 {built-in method builtins.vars}
       16    0.000    0.000    0.000    0.000 request.py:621(__lt__)
       16    0.000    0.000    0.000    0.000 enum.py:68(__init__)
       16    0.000    0.000    0.000    0.000 enum.py:143(__prepare__)
       16    0.000    0.000    0.000    0.000 enum.py:175(<dictcomp>)
       16    0.000    0.000    0.001    0.000 enum.py:200(<setcomp>)
       16    0.002    0.000    0.005    0.000 enum.py:157(__new__)
       16    0.000    0.000    0.000    0.000 enum.py:370(__getattr__)
       16    0.000    0.000    0.000    0.000 enum.py:522(_check_for_existing_members)
       16    0.000    0.000    0.000    0.000 enum.py:579(_find_new_)
       15    0.000    0.000    0.000    0.000 ssl.py:965(_sslcopydoc)
       15    0.000    0.000    0.049    0.003 css_parser.py:308(__init__)
       14    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
       14    0.000    0.000    0.000    0.000 {method '__init_subclass__' of 'object' objects}
    14/10    0.000    0.000    0.120    0.012 {built-in method builtins.__import__}
       14    0.000    0.000    0.000    0.000 {built-in method builtins.compile}
       14    0.000    0.000    0.000    0.000 hashlib.py:123(__get_openssl_constructor)
       14    0.000    0.000    0.000    0.000 css_parser.py:461(__init__)
       14    0.000    0.000    0.021    0.001 css_parser.py:1156(process_selectors)
       14    0.000    0.000    0.000    0.000 typing.py:496(__init__)
       14    0.000    0.000    0.000    0.000 typing.py:900(__init_subclass__)
       14    0.000    0.000    0.000    0.000 typing.py:1065(<genexpr>)
       14    0.000    0.000    0.000    0.000 enum.py:1015(_power_of_two)
       13    0.000    0.000    0.000    0.000 {method 'cast' of 'memoryview' objects}
       13    0.000    0.000    0.000    0.000 enum.py:398(__members__)
       12    0.000    0.000    0.000    0.000 {method 'tolist' of 'memoryview' objects}
