('Total Revenue', '198,270,000', '198,270,000', '168,088,000', '143,015,000', '125,843,000')
         529436 function calls (509921 primitive calls) in 1.704 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      188    0.000    0.000    0.000    0.000 sre_parse.py:921(fix_flags)
      178    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
      331    0.000    0.000    0.167    0.001 re.py:250(compile)
        1    0.000    0.000    0.000    0.000 {method 'getpeercert' of '_ssl._SSLSocket' objects}
    34/13    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
     1096    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
       20    0.000    0.000    0.585    0.029 response.py:713(read_chunked)
     1096    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
    256/3    0.000    0.000    0.315    0.105 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
       69    0.000    0.000    0.001    0.000 css_parser.py:544(parse_tag_pattern)
       67    0.000    0.000    0.009    0.000 _htmlparser.py:107(handle_startendtag)
       14    0.000    0.000    0.000    0.000 {built-in method builtins.compile}
      156    0.000    0.000    0.000    0.000 {method '_checkReadable' of '_io._IOBase' objects}
      219    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:342(__init__)
      178    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1075(path_stats)
      376    0.000    0.000    0.000    0.000 sre_compile.py:595(isstring)
       17    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1317(_path_hooks)
      268    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
        1    0.000    0.000    1.389    1.389 financial.py:8(financial)
      237    0.000    0.000    0.000    0.000 {built-in method builtins.any}
      120    0.000    0.000    0.000    0.000 typing.py:172(_collect_type_vars)
      256    0.000    0.000    0.001    0.000 os.py:670(__getitem__)
      220    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:151(__exit__)
       70    0.000    0.000    0.000    0.000 sre_parse.py:267(getuntil)
        1    0.000    0.000    0.040    0.040 dammit.py:67(EntitySubstitution)
      300    0.000    0.000    0.000    0.000 enum.py:22(_is_dunder)
      239    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:154(_path_isfile)
       48    0.000    0.000    0.000    0.000 __init__.py:620(_linkage_fixer)
      268    0.000    0.000    0.001    0.000 _collections_abc.py:742(__iter__)
      220    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:143(__init__)
     1510    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
        1    0.000    0.000    1.704    1.704 financial.py:3(<module>)
       49    0.000    0.000    0.001    0.000 typing.py:689(copy_with)
        1    0.000    0.000    0.000    0.000 models.py:586(Response)
